sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-07-03 21:00:00,6.87,,6.95,LLeno,LLeno,LLeno,5.90,,,
2026-07-03 23:00:00,6.96,,6.93,LLeno,LLeno,5.37,Medio +,,,
2026-07-04 01:00:00,6.89,,6.86,LLeno,5.45,Medio +,Medio +,,,
2026-07-04 03:00:00,,,6.47,LLeno,4.16,Medio +,Medio +,,,
2026-07-04 05:00:00,,,6.19,5.03,4.99,Medio +,Medio +,,,
2026-07-04 07:00:00,,,6.38,5.87,3.13,Medio +,Medio +,,,
2026-07-04 09:00:00,6.01,,Full,LLeno,3.49,Medio +,Medio +,,,
2026-07-04 11:00:00,LLeno,,7.00,5.96,3.96,Medio +,3.97,,,
2026-07-04 13:00:00,LLeno,,Full,5.55,2.84,6.37,2.66,,,
2026-07-04 15:00:00,LLeno,,Full,6.50,6.64,6.22,6.06,,,
2026-07-04 17:00:00,5.97,,Full,LLeno,6.53,LLeno,6.02,,,
2026-07-04 19:00:00,3.90,,Full,LLeno,LLeno,5.93,LLeno,,,
2026-07-04 21:00:00,3.78,,Full,LLeno,LLeno,LLeno,LLeno,,,
2026-07-04 23:00:00,3.54,,Full,5.92,LLeno,5.95,5.46,,Full,
2026-07-05 01:00:00,6.30,,Full,5.29,LLeno,LLeno,Medio +,,,
2026-07-05 03:00:00,6.45,,Full,5.11,5.34,5.62,Medio +,,,
2026-07-05 05:00:00,5.93,,Full,Medio +,2.01,Medio +,Medio +,,,
2026-07-05 07:00:00,LLeno,,Full,Medio +,4.61,Medio +,Medio +,,,
2026-07-05 09:00:00,LLeno,,Full,Medio +,4.74,Medio +,Medio +,,,
2026-07-05 11:00:00,5.79,,Full,Medio +,3.10,Medio +,4.73,,,
2026-07-05 13:00:00,4.49,,Full,4.80,4.50,6.26,3.50,,,
2026-07-05 15:00:00,Medio -,,Full,6.34,6.24,LLeno,6.32,,,
