sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 11:17:20,,,,,,Medio ,Medio +,
2026-09-09 11:17:40,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:18:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:18:20,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:18:40,,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:19:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:19:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:19:40,,,,Medio +,,Medio ,Medio +,
2026-09-09 11:20:00,,,,,Medio +,Medio ,Medio +,
2026-09-09 11:20:20,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:20:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:21:00,,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:21:20,,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:21:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:22:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:22:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:22:40,,Medio +,,Medio +,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:23:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:23:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:23:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:24:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:24:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:24:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:25:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:25:20,,,,Medio +,,Medio ,,
2026-09-09 11:25:40,,,,Medio +,Medio +,Medio ,,
2026-09-09 11:26:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:26:20,,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:26:40,,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:27:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:27:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:27:40,,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:28:00,,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:28:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:28:40,,Medio +,,,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:29:00,,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:29:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:29:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:30:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:30:20,,Medio +,,Medio +,,Medio ,4.50,Medio +
2026-09-09 11:30:40,,Medio +,,Medio +,,Medio ,Medio ,Medio +
2026-09-09 11:31:00,,Medio +,,Medio +,,Medio ,Medio ,Medio +
2026-09-09 11:31:20,,Medio +,,Medio +,,Medio ,Medio ,Medio +
2026-09-09 11:31:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:32:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:32:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:32:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:33:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:33:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:33:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:34:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:34:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:34:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:35:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:35:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:35:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:36:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:36:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:36:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:37:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:37:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:37:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:38:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:38:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:38:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:39:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:39:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:39:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:40:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:40:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:40:40,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:41:00,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
2026-09-09 11:41:20,,Medio +,,Medio +,Medio +,Medio ,Medio ,Medio +
